cytoband	13q14.13	6q15	2q22.2	17p13.1	5q13.2	10q23.31	5q22.1	11q23.2	1q42.2	6p21.32	6p24.3	19p13.3	1p36.13	18q22.3	11p15.5	3p12.3	7q22.1	6q21	12p12.3	1p31.1	3q29	16q24.1	15q15.1	12q24.32	9p24.2	1p13.3	4q34.2	19q13.31	4p12	6q27	11q12.1	2q37.2	8p21.2	10q21.1	17q21.2	21q21.1	2p21	4q27	21q22.3	7q36.2	22q13.31	1q24.2	9q21.13	3p25.3	16q21	4q21.22	14q11.2	2p12	12q12	17q11.2	14q24.3	15q11.2	
	SPRYD7	RWDD2A	MIR3679	GSG1L2	LOC102467655	LGI1	TMEM232	DIXDC1		RPS10		MIDN			MIR6744	LOC101927296			DERA	TYW3	TCTEX1D2	IL17C	C15orf56	CCDC92	FAM138A	MIR7852		PSG10P		DACT2	OR7E5P	NMUR1	MIR6842	TIMM23B	KRT17	LINC01549	LOC101929596	MIR1243	UBE2G2	MIR595	MIOX	GLUL	RMI1	EMC3-AS1	PHKB	C4orf36	SLC22A17	C1D		EPN2	SERPINA1		
	SMIM2	RIPPLY2	LOC100507600	SCARNA21	LOC102724392	MINPP1	SNORA13	FDXACB1		RPS18		REEP6				LOC101927374			DDX47	ERICH3	SMCO1	ANKRD11	PHGR1	PUS1	FAM138C	LOC102606465		ERICH4		C6orf118	OR5AS1	STK25	MIR6843	CH17-360D5.1	KRT19	SAMSN1-AS1	LOC101929723	MIR1973	WRB	MIR671	PRR5	HDGF	TRPM3	MIR885	PHKG2	PAQR3	HAUS4	SEMA4F		SARM1	SERPINA4		
	RNASEH2B	IRAK1BP1	MIR4773-1	SNORD118		KIF20B	LOC100133050	C11orf52		RXRB		IZUMO4				FOXP1-AS1			CLEC1B	LRRIQ3	SDHAP1	OSGIN1	ANP32AP1	C12orf65	WASH1	LINC01307		LOC100289650		WDR27	OR8K5	COPS8	MIR6876	LINC01468	KRT31	MIR548XHG	LOC102723824	LOC100996694	C21orf33	HTR5A-AS1	TRMU	CFH	GKAP1	GHRLOS	POLR2C	RASGEF1B	C14orf119	CCT7		USP22	PIGH		
	DHRS12	PM20D2	MIR5590	LOC100128288		ZNF518A	LOC100289230	APOA5		VPS52		SCAMP4				LOC105377143			CLEC1A	SAMD13	LOC285389	GINS2	SRP14-AS1	TMEM132C	DDX11L5			MIR4323		PACRG-AS1	OR5T2	CAPN10		LOC102724593	KRT32	LINC01425	LOC102723854	IL21-AS1	PDXK	LINC01003	PANX2	CFHR1	CEP78	SRGAP3-AS3	PPP4C	CNOT6L	RBM23	STAMBP		PPY2P	PPM1A		
	RUBCNL	SRSF12	LOC101928161	MIR4314		FRAT1	LOC100289673	PIH1D2		SNRPC		ADAT3				LOC105377146			WBP11	MGC27382	WDR53	TRAPPC2L	ANKRD63	TMEM132B	MIR1302-2			PCAT19		PRR18	OR8H1	PASK		LOC102724719	KRT33A	LOC101927843		GTF2IP12	RRP1	WDR86-AS1	PARVG	CFHR2	ANKRD20A1	MIR378B	MAPK3	C4orf22	DHRS4-AS1	MTHFD2		PYY2	PPP2R5E		
	CDADC1	CFAP206	LOC101928185	MIR4521		RPP30	MIR548F3	NXPE1		SRPK1		ZNF554				LOC105377162			PLEKHA5	SLC44A5	ANKRD18DP	NECAB2	MIR3942	LINC01257	MIR1302-9			LOC100505585		LOC285804	OR8K3	ATG4B		SGMS1-AS1	KRT33B	LOC101927869		LINC01365	PSMG1	PAXIP1-AS2	CERK	MR1	C9orf64	ARPC4-TTLL3	PRSS8	SOWAHB	OSGEP	PROKR1		DHRS7B	PRKCH		
	CAB39L	PRSS35	DARS-AS1	LOC101928266		SORBS1	MIR548P	NXPE2		TAF11		ZNF57							MANSC1	ST6GALNAC3	NRROS	KLHDC4	INAFM2	TMEM132D	MIR1302-10			LOC100505622		C6orf120	OR8J1	SH3BP4			KRT34	MIR8069-1		LOC101929741	MCM3AP	MIR3907	EFCAB6	HSPA6	SLC25A51	PRRT3-AS1	RBL2	SLC10A6	ARHGEF40	SNRNP27		POLDIP2	LGMN		
	CCDC70	LCA5	LOC101928273	MIR6883		NRG3	STARD4-AS1	LAYN		TAP1		JSRP1							MAGOHB	NEGR1	LINC00884	DEF8	RAD51-AS1	SLC15A4	MIR1302-11			LIPE-AS1		DKFZp451B082	OR5R1	NGEF			KRT35	MIR6130		LOC101929762	ABCG1	PRKAG2-AS1	ALG12	HSPA7	FAM122A	SLC6A1-AS1	SALL1	HSD17B13	METTL3	AAK1		TBC1D29	PSEN1		
	COG3	C6orf163	LOC101928386			ADIRF	LINC01023	ANKK1		TAP2		MOB3A							STYK1	MIGA1	LINC00885	BANP	DPH6-AS1	BRI3BP	MIR4665			LINC01480		TCP10L2	OR5M3	SNORD82			NBR1	LOC102724188		MIR8082	DSCR4	LOC100506302	CRELD2	IFI16	TMC1	ATP2B2-IT2	CCL17	WDFY3-AS2	RPGRIP1	CEP68		WSB1	PSMC1		
	SETDB2	GJB7	LINC01412			LDB3	LINC00492	RNF214		TAPBP		PLK5							GPRC5D	NEXN-AS1	LINC00969	ZDHHC7	MIR4510	RFLNA	PGM5P3-AS1			LOC101930071		LOC401286	OR5M8	SNED1			MAPT	LOC105372751		LINC01378	DSCR3	LINC01006	ADM2	INSRR	CARNMT1	LOC101927416	CCL22	LINC00575	NDRG2	EXOC6B		ERAL1	ABCD4		
	EBPL	SNHG5	LOC101929231			CPEB3	NREP-AS1	LOC283140		TCP11		CIRBP-AS1							ATF7IP	UOX	LOC647323	JPH3	LOC101928174	ZNF664	LINC01231			MIR6797		LINC00242	OR5M11	GIGYF2			ADAM11				B3GALT5	LOC100506585	TRABD	KCNJ9	C9orf57		CX3CL1	TMEM150C	HOMEZ	WBP1		SNORD4B	RAD51B		
	ARL11	SNORD50B	LOC101929260			WAPL	LOC101927023	LINC00900		TEAD3		C19orf25							H2AFJ	MIR186	MIR570	TLDC1	LOC101928227	GLT1D1	RFX3-AS1			MIR8077		LINC01624	OR5AR1	TRAF3IP1			MEOX1				WDR4	MIR5707	PNPLA3	KCNJ10	C9orf85		SIAH1	MIR575	CHD8	VAX2		SNORD4A	RTN1		
	WDFY2	HMGN3-AS1	LOC101929282			RRP12	LOC101927059	PLET1		TULP1		ATP8B3							LMO3	LHX8	SDHAP2	WFDC1	MIR8063	PGAM5	CDC37L1-AS1					LINC00602	OR5AK4P	ANO7			MPP2				FTCD	LOC101927914	SELO	LAMC1	C9orf135		SLC5A2	THAP9-AS1	CCNB1IP1	CNRIP1		SNORD42B	SEL1L		
	LINC00284	MEI4	LOC101929319			TBC1D12	LOC101927078	LOC387810		ZNF76		DIRAS1							FAM234B	LINC01555	FAM157A	MTHFSD	LOC105370941	RILPL2	LINC01230					LOC441178	LRRC55	PRLH			MPP3				HSF2BP	LOC101929998	HDAC10	LAMC2	TRPM6		SLC6A2	LINC01094	C14orf93	RAB11FIP5		SNORD42A	SRSF5		
	LACC1	LINC01526	MIR7157			DNMBP	LOC102467212	C11orf88		SLC39A7		ZNF555							CLEC7A	SNORD45C	MIR922	DBNDD1	BUB1B-PAK6	DNAH10						AFDN-AS1	OR4C3	THAP4			MYL4				RRP1B	LINC01287	LDOC1L	LMX1A	RASEF		SLC12A3	LINC01088	ABHD4	NFU1		SNORD3B-1	SIX1		
	LINC00330	LOC101928820	LOC105373635			FRAT2	LOC102467213	MIR34B		HSD17B8		CBARP							BCL2L14	ZRANB2-AS1	DPPA2P3	KLHL36		LOC283352						LOC729603	OR4S1	ANKMY1			NAGLU				DIP2A	LINC01022	KIAA1644	LY9	FAM201A		STX4	LINC00989	EDDM3B	BMP10		B9D1	SLC8A3		
	HNRNPA1L2	LOC101928911	LOC105373656			IFIT5	LOC102467214	MIR34C		B3GALT4		CSNK1G2-AS1							RERGL	MIR1262	LINC00887	FBXO31		ADGRD1						PACRG-AS3	OR10AG1	SCLY			NFE2L1				POFUT2		SHANK3	MEF2D	PRUNE2		SULT1A3	LOC100506746	CDH24	ZNF638		TMEM97	SLC10A1		
	ST13P4	LOC101928936				LRIT1	LOC102467216	CLDN25		SYNGAP1		ADAMTSL5							PLBD1	SPATA1	MIR3137	CDT1		DDX51						HGC6.3	OR5J2	ASB1			NMT1				ICOSLG		TUBGCP6	MGST3	TMEM252		TBX6	MIR4451	METTL17	HTRA2		GIT1	SNAPC1		
	CCDC122	TBX18-AS1				TCTN3	LINC01340	LOC100132686		WDR46		TMPRSS9							DUSP16	FPGT-TNNI3K	LOC100505920	MAP1LC3B		LOC338797						LOC100131532	OR4C13	CAB39			NSF				BACE2		LMF2	MNDA	CBWD5		TGFB1I1	MIR5096	IL25	CD207		TVP23B	SPTB		
	ERICH6B	LOC105377879				C10orf12	CTD-2151A2.1	NCAM1-AS1		ZBTB22		NDUFS7							APOLD1	NEGR1-IT1	MFI2-AS1	HSDL1		EP400NL						LOC100289495	OR4C12	UGT1A10			PPY				C2CD2		PHF21B	MPZ	ANKRD18A		TK2	MIR4452	THTPA	TPRKB		PIPOX	TGFB3		
	SPERT	LINC01611				ANKRD2		BACE1-AS		PPT2		C19orf35							GSG1	ZRANB2-AS2	DLG1-AS1	CRISPLD2		RILPL1						MIR1913	TRIM49B	UGT1A8			PYY				DNMT3L		KLHDC7B	MYOC	MAMDC2		DOC2A	MIR5705	OR4K5	PCYOX1		CRLF3	TSHR		
	DLEU7					CNNM1		MIR4301		PFDN6		ONECUT3							RERG	DEPDC1-AS1	TMEM44-AS1	SPIRE2		KMT5A						MIR3939	OR9G4	UGT1A7			RAB5C				ZBTB21		PNPLA5	NCF2	FRMD3		NAE1	LOC101928942	OR11H2	NAT8B		NLK	VRK1		
	FAM124A					MYOF		HSPB2-C11orf52		AGPAT1		MEX3D							PLCZ1	LOC101927244	LOC100507391	ZNF469		LINC00944						KIF25-AS1	OR5F1	UGT1A6			RARA				PIGP		PRR34-AS1	NDUFS2	LOC286297		BCL7C	LOC101928978	OR4K1	ETAA1		ALKBH5	WARS		
	TPTE2P3					ANKRD1		LOC100652768		C6orf10		LINGO3							HTR7P1	LINC01360	TM4SF19-TCTEX1D2	CENPBD1		LINC00939						CAHM	OR5AP2	UGT1A5			RNU2-1				UBASH3A		CDPF1	NHLH1	FOXD4L3		ADGRG1	LOC101929064	OR4K15	C2orf42		SLC47A1	YY1		
	LRRC63					GHITM		LOC101928823		NUDT3		LOC100288123							CAPZA3	ERICH3-AS1	MIR4797	ZNF276		FLJ37505						MIR4644	OR4X1	UGT1A9			RPL27				RIPPLY3		GTSE1-AS1	NIT1	SPATA31D5P		N4BP1	SNORD143	JPH4	MOB1A		FAM222B	ZBTB25		
	CTAGE10P					R3HCC1L		LOC101928847		ANKS1A		MIR1909							BORCS5	LOC101927342	OPA1-AS1	KCNG4		LOC440117						RPS6KA2-AS1	OR5D13	UGT1A4			SLC4A1				BRWD1		LOC284930	NTRK1	IGFBPL1		NUP93	SNORD144	RNASE7	NAGK		NUFIP2	DPF3		
	SLC25A30					BLNK		LOC101928940		SPDEF		MIR1227							TMEM52B	LOC101927412	LMLN-AS1	RNF166		FZD10-AS1						RPS6KA2-IT1	OR5D16	UGT1A1			SMARCE1				SLC37A1		LOC284933	DDR2	FOXD4L4		HERPUD1		RAB2B	GKN1		TAOK1	GPR68		
	SIAH3					EXOSC1		LOC101928985		BRPF3		MIR4321							HIST4H4	LOC101927434	UBXN7-AS1	DNAAF1		ANHX						PACRG-AS2	OR5W2	UGT1A3			SP2				PCBP3		RPL23AP82	PBX1	AQP7P1		ZNF646		AJUBA	CYP26B1		PHF12	TCL1A		
	KCNRG					CUTC		LOC101929011		PACSIN1		LOC101928602							ERP27	LINC01361	TM4SF19-AS1	SPATA2L		SNORA49						LOC101929297	OR8H2	ATG16L1			STAT3				C21orf58		C22orf34	PDC	PTAR1		SETD1A		ZFHX2	POLE4		ATAD5	GPR65		
	LINC00282					PLCE1		APOA1-AS		DEF6		MIR7850							AEBP2	LOC101927560	XXYLT1-AS1	SPATA33		LOC100128554						LOC101929420	OR8H3	USP40			STAT5A				YBEY		CHKB-CPT1B	PFDN2	FGF7P6		RNF40		RPPH1	PNO1		FAM106A	NUMB		
	NEK5					PANK1		LOC105369507		ETV7		MIR6789							C12orf60	LOC101927587	XXYLT1-AS2	ZC3H18		LOC100130238						LOC101929460	OR5T3	HJURP			STAT5B				TSPEAR-AS1		LINC00207	PIGC	SPATA31A6		IRX5		PPP1R3E	SLC4A5		RAB34	ADAM21		
	KCTD4					CCSER2		LOC105369509		CUTA		MIR7108							CLEC12A	MIR7156	ATP13A4-AS1	SLC38A8		LOC100190940						LINC01615	OR5T1	HES6			MLX				TSPEAR		MIRLET7BHG	PLA2G4A	GLIDR		DNAJA2		TMEM55B	GMCL1		NSRP1	ADAM20		
	SERP2					EXOC6				UHRF1BP1									TAS2R43	LINC01461	LOC101929337	SLC22A31		ZNF605						LOC101929504	OR8K1	ACKR3			TOP2A				LINC00112		LINC00898	PRRX1	SPATA31D4		BCKDK		TTC5	TTC31		CORO6	CCNK		
	TUSC8					FAM35A				BTNL2									TAS2R31		LOC101929697	FLJ30679		MIR4304						LOC101929523	OR5M9	RNPEPL1			DNAJC7				LINC00111		IL17REL	POU2F1	SPATA31D3		KATNB1		CMTM5	OR7E91P		SSH2	DCAF5		
	MIR15A					CCNJ				GPSM3									TAS2R46		LINC01063	LOC146513		MIR3612						MIR7641-2	OR5M10	GAL3ST2			TUBG1				FAM3B		MIRLET7A3	PPOX	SPATA31D1		ZNF267		RNASE11	ANKRD53		TP53I13	ALKBH1		
	MIR16-1					MARCH5				FKBPL									TAS2R30		MIR6829	ZFPM1		MIR3908						LOC102724152	OR5M1	RAB17			UBTF				RIPK4		MIRLET7B	PRCC	LOC389765		CD2BP2		TPPP2	LRRTM4		IFT20	EIF2B2		
	ALG11					CRTAC1				C6orf106									TAS2R19		LOC105374297	ADAD2		LRCOL1						LOC102724357	OR9G1	COPS7B			WNT3				AGPAT3		LINC00229	PTGS2	FAM74A1		SRCAP		RNASE8	INO80B		SPECC1	PNMA1		
	TSC22D1-AS1					CEP55				PRRT1									TAS2R20			SNAI3-AS1		LOC100507091						LOC102724511	OR5AK2	TRPM8			WNT9B				PRDM15		DENND6B	QSOX1	FAM74A4		NUDT21		MRPL52	WDR54		PIGS	RPS6KA5		
	LINC00371					RNLS				EGFL8									TAS2R50			LINC00311		LINC00943						LOC105378098	FAM180B	MLPH			RND2				TMPRSS3		PIM3	PTPRC	ZNF658B		CORO1A		PSMB11	EVA1A		SLC46A1	TRIP11		
	SERPINE3					PI4K2A				UQCC2									CLEC9A			ZNF778		ZNF664-FAM101A						MEAT6	OR4A47	IQCA1			CNTNAP1				COL18A1		ODF3B	PEX19	LOC403323		SEPHS2		OR4K14	ANTXR1		ABHD15	NRXN3		
	SNORA31					TM9SF3				SLC26A8									LINC01559			ACSF3		MIR4419B						LOC105378123	OR4C45	C2orf54			SKAP1				LRRC3		PRR5-ARHGAP8	RGS1	MIR204		CNOT1		OR4L1	PRADC1		TLCD1	AKAP5		
	LINC00462					ENTPD7				IP6K3									LINC01252			LINC00304		MIR5188						LOC105378127	LOC440040	ARMC9			AOC3				SPATC1L		TBC1D22A-AS1	RGS2	MIR7-1		ZNF423		OR11H6	MCEE		SGK494	SPTLC2		
	TPT1-AS1					STAMBPL1				ARMC12									TAS2R42			SNAI3		LINC00507						LOC105378137	TRIM51HP	EFHD1			BECN1				LINC01547		SYCE3	RGS4	IDNK		RPGRIP1L		KLHL33	LOXL3		SEZ6	TCL1B		
	MIR759					AVPI1				C6orf1									CLEC2A			LOC339059		LOC100996671						LOC105378146	LOC441601	ILKAP			KRT38				DSCR8		LOC730668	RGS13	LOC440896		ZNF629		REM2	PCGF1		ANKRD13B	RGS6		
	MIR3613					HPSE2				LEMD2									CLEC12B			FAM92B		LOC100996679							OR8U8	ITM2C			KRT37				FAM207A		LINC01310	RGS16	ANKRD20A3		ARL2BP		LOC254028	CCDC142		MIEF2	SUSD6		
	INTS6-AS1					MMS19				ZBTB9									RPL13AP20			CTU2		ZNF891							TRIM64C	ING5			KRT36				RSPH1		CHKB-AS1	RNASEL	ANKRD20A2		ORC6		LINC00641	FAM136A		SLC5A10	AREL1		
	CPB2-AS1					NOC3L				KCTD20									LOC400002			PABPN1L		LOC101927415							LOC646813	MGC16025			HAP1				UMODL1		LINC00899	RNF2	AQP7P3		TP53TG3		DHRS4L2	LBX2		SMCR8	GOLGA5		
	MIR4703					MMRN2				PXT1									SMCO3			LOC400548		LOC101927464							MIR3161	B3GNT7			MAP3K14				ERVH48-1		MIR1249	RXRG	PTGER4P2-CDK2AP2P2		TBC1D10B		SNORD8	SFXN5		SLC47A2	MED6		
	MIR5693					UBTD1				LHFPL5									LOH12CR2			FENDRR		LOC101927592							MIR4487	LOC93463			EFTUD2				LINC00313		MIR3201	XCL1	FOXB2		DKFZP434H168		RNASE10	TEX261		TMEM199	GPHN		
	LINC00562					TNKS2				SCUBE3									PRB2			LOC400553		LOC101927616							LOC101927120	AGAP1			NPEPPS				B3GALT5-AS1		MIR3619	SDHC	CBWD3		TOX3		OR6S1	WDR92		PROCA1	VTI1B		
	LINC00563					TSPAN14				LOC285847									MIR613			LOC400558		LOC101927637							LOC101928943	TWIST2			GOSR2				LINC00334		MIR3667	SELE	C9orf135-AS1		CCDC113		OR4N2	MRPL53		DHRS13	FBLN5		
	LINC00441					SLC25A28				PNPLA1									MIR614			C16orf74		LOC101927694							MIR6128	DIS3L2			NR1D1				TSPEAR-AS2		NUP50-AS1	SELL	LOC554249		CFAP20		OR4K2	REG3G		TRIM16L	BATF		
	MED4-AS1					MARVELD1				CLPSL1									SKP1P2			LOC440390		LOC101927735								NEU4			TBKBP1				MCM3AP-AS1		LINC01589	SELP	PGM5-AS1		PYCARD		OR4K13	M1AP		LYRM9	NPC2		
	DLEU7-AS1					LOXL4				CLPSL2									SLC15A5			SNORD68		LOC101928416								SPATA3			PLEKHM1				LCA5L		MIR4763	SLAMF1	PGM5P2		BRD7		OR4K17	FBXO41		USP32P2	AHSA1		
	HTR2A-AS1					ZDHHC16				C6orf222									SMIM10L1			LINC00917		LOC101928530								MTERF4			LRRC37A				IGSF5		MIR4762	SOAT1	FRG1JP		MYLPF		OR4N5	ASPRV1		TBC1D28	CYP46A1		
	ENOX1-AS2					PCGF5				LINC00336									MIR1244-1			VPS9D1-AS1		LOC101928597								UBE2F			HDAC5				SIK1		MIR4535	UAP1	LOC642929		PLLP		OR11G2	LBX2-AS1		CDRT15L2	PAPOLA		
	LINC00400					LCOR				MIR219A1									MIR1244-3			LOC100129697		MIR6763								OTOS			GJC1				LINC00479		EFCAB6-AS1	SPTA1	LINC01189		CKLF		OR11H4	CLEC4F		NATD1	ACOT2		
	RNASEH2B-AS1					PYROXD2				HCG23									MIR1244-2			URAHP		MIR6880								COPS9			PSME3				ZNF295-AS1		LOC101927526	TROVE2	CNTNAP3P2		AHSP		RNASE9	DQX1		CCDC144B	TMED10		
	SLC25A30-AS1					ATAD1				HCG25									KLRF2			LOC100287036		MIR8072								OR6B3			EIF1				UMODL1-AS1		LL22NC03-75H12.2	XCL2	CBWD6		ZNF771		OR5AU1	ALMS1P1		KRT18P55	PTPN21		
	SMIM2-IT1					ARHGAP19				HCG24									LOC100506159			LOC100289580		THRIL								LOC150935			NBR2				PLAC4		MIR6821	TNR	FLJ43315		CES1P1		POTEG	TET3		NEK8	C14orf1		
	MRPS31P5					CDHR1				GGNBP1									LOC100506314			MIR1910		LINC00508								LINC01107			RAMP2				DSCR9		LOC105373100	TOP1P1	SPATA31A1		FBXL19		MIR208A	GKN2		FAM27E5	VASH1		
	SMIM2-AS1					OPALIN				LOC100294145									LOC100506393			MIR3182		LOC105370068								LOC151174			VAT1				DSCR10			TPR	RPSAP9		LPCAT2		OR11H12	APLF		FLJ36000	ZBTB1		
	LOC101929259					OPN4				MIR1275									KLRC4-KLRK1			LINC01082		CRAT8								ERFE			P3H4				LINC00323			TNFSF4	FOXD4L6		HEATR3		RNASE13	SPRED2		LGALS9B	SNW1		
	LINC01198					HOGA1				MIR3934									PRH1-PRR4			C16orf95		LACAT8								LOC151475			HEXIM1				LINC00319			UCK2	FOXD4L5		SLC38A7		OR4Q3	FIGLA		CCDC144NL	PCNX1		
	LOC101929657					PIK3AP1				PSMB8-AS1									MIR3974			MIR4722		LOC107161159								LINC00471			C1QL1				AATBC			USF1	FGF7P3		OGFOD1		OR4M1	NOTO		KRT17P5	DAAM1		
	MIR8079					MORN4				LOC100507547									RERG-AS1			MIR5093										LOC151484			RUNDC3A				KRTAP12-2			NPHS2	SPATA31A3		DOK4		RNASE12	C2orf78		LOC339260	TTLL5		
	LINC01065					ZFYVE27				LINC01016									LOC101928100			MIR5189										MSL3P1			CBX1				KRTAP12-1			TAGLN2	SPATA31A5		VPS35		DUXAP10	BOLA3		C17orf51	SYNE2		
	LOC103191607					FRA10AC1				RPS10-NUDT3									LOC101928162			FAM157C										C2orf57			CASC3				KRTAP10-10			RGS5	FAM74A3		COQ9		POTEM	C2orf81		CCDC144CP	ANGEL1		
	DLEU1-AS1					ANKRD22				PPT2-EGFL8									PLBD1-AS1			LINC01081										TIGD1			GPATCH8				PICSAR			BLZF1	CNTNAP3B		CIAPIN1		LOC642426	LOC400958		EFCAB5	DICER1		
	LINC01055					NUDT9P1				MIR3135B									LINC01489			LOC101927793										LOC200772			KCNH4				COL18A1-AS1			VAMP4	LOC728673		PDP2		LINC01296	PCBP1-AS1		TMIGD1	ZFYVE26		
	LINC00390					AGAP11				MIR5004									MIR7641-2			LOC101927817										C2orf72			FAM215A				KRTAP10-4			PEA15	ANKRD20A4		ZNF319		ECRP	PAIP2B		LOC388436	TTC9		
	LOC105370203					ACSM6				MIR5690									LOC102724020			LOC101928417										RTP5			KRT23				KRTAP10-6			B4GALT3	FAM27E3		NOD2		TMEM253	FBXO48		MYO18A	FLRT2		
	SETDB2-PHF11					LIPJ				LOC101929163									PRH1-TAS2R14			LOC101928446										LOC285095			TUBG2				KRTAP10-7			B3GALT2	LOC100132249		PAPD5		SNORD9	LOC644838		FLJ35934	PLEKHG3		
						CFL1P1				LOC101929188												LOC101928557										DUSP28			NKIRAS2				KRTAP10-9			CREG1	FRG1HP		FBRS		DHRS4L1	LOC729348		GRAPL	SIPA1L1		
						HECTD2				LOC101929243												LOC101928614										MROH2A			COA3				KRTAP10-1			CD84	GXYLT1P3		AKTIP		SNORD126	MEIS1-AS3		MIR144	DCAF4		
						FGFBP3				MIR6833												LOC101928659										ESPNL			PSMC3IP				KRTAP10-11			TNFSF18	FAM27C		C16orf58		MIR208B	SNORA36C		CCDC144NL-AS1	TMEM251		
						NKX2-3				MIR6834												LOC101928682										ECEL1P2			SNX11				KRTAP10-2			MPZL1	FAM95B1		GINS3		PRMT5-AS1	LOC100133985		TBC1D3P5	PLEK2		
						SLC35G1				MIR6835												LOC101928708										SPATA3-AS1			TBX21				KRTAP10-5			SH2D2A	FAM27B		NDRG4		RNF212B	SNAR-H		SUZ12P1	TCL6		
						LINC00858				MIR7111												LOC101928737										RBM44			SOST				KRTAP10-8			ANGPTL1	VPS13A-AS1		ZNF747		LOC100508046	DCTN1-AS1		MIR423	MLH3		
						PIPSL				MIR6721												LOC101928880										AQP12A			RAPGEFL1				KRTAP10-3			TBX19	FAM27E2		PRR14		BCL2L2-PABPN1	MIR1285-2		MIR451A	KCNH5		
						FLJ37201				MIR6873												MIR6775										KLHL30			COPZ2				KRTAP12-3			FCGR2C	FAM95C		VKORC1		MIR4707	MIR3126		FAM83G	FOXN3-AS2		
						FFAR4				MIR7159												MIR8058										C2orf82			ARL17A				KRTAP12-4			DEDD	MIR1299		SLX1B		POTEH-AS1	LOC100507073		KRT16P3	POMT2		
						LIPM				HLA-DQB1-AS1												MIR6774										OR6B2			SLC25A39				KRTAP10-12			XPR1	MAMDC2-AS1		FTO		BMS1P17	BOLA3-AS1		EVPLL	COQ6		
						CYP26C1																LOC102724163										ASB18			HIGD1B				LINC00316			GPR52	SMC5-AS1		DCTPP1		LOC101926933	INO80B-WBP1		SEBOX	FCF1		
						LRIT2																LOC102724344										FLJ43879			KRT20				LINC00114			AIM2	LINC01504		GDPD3		LOC101929572	MIR4778		LGALS9C	RDH11		
						SH2D4B																LOC102724467										MIR149			LRRC37A4P				LOC400867			RASAL2	MIR4477A		IRX6		LOC101929718	MIR5000		SNORA59A	SERPINA10		
						C10orf99																FOXC2-AS1										DNAJB3			PNPO				LOC642852			ADAMTS4	BANCR		IRX3		MIR6717	MEIS1-AS2		KRT16P1	GLRX5		
						SLC16A12																LOC105371414										LOC643387			KLHL11				LINC00163			PRDX6	FAM74A7		USB1		LOC102724814	DGUOK-AS1		ZNF286B	COX16		
						CC2D2B																										PRSS56			ATXN7L3				SSR4P1			KIAA0040	LINC01506		ZNF768		MHRT	TGFA-IT1		SNORD3A	DACT1		
						GOLGA7B																										AQP12B			FKBP10				LINC00322			NOS1AP	LOC101927069		ZNF668		BMS1P22	ALMS1-IT1		SNORD3C	ATP6V1D		
						MIR107																										SNORA75			WNK4				LOC100129027			ARHGEF11	LINC01474		ARMC5			LOC101060019		SNORD3D	EVL		
						C10orf62																										SCARNA6			C17orf53				MIR3197			CEP350	LOC101927358		SHCBP1			LOC101927438		KCNJ18	GSKIP		
						LINC00863																										SCARNA5			TMUB2				ITGB2-AS1			SMG7	C9orf41-AS1		SETD6			LOC101927577		LOC100287072	JKAMP		
						IFIT1B																										MIR562			DHX58				DSCAM-AS1			RABGAP1L	GNA14-AS1		FAM192A			LOC101927661		MIR1180	DHRS7		
						MIR346																										D2HGDH			PRR15L				MIR4760			FAM20B	LOC101927450		CHD9			LOC101927701		MIR3184	ASB2		
						HOST2																										LOC728323			ACBD4				MIR5692B			NR1I3	LINC01507		HSD3B7			ATP6V1B1-AS1		MTRNR2L1	SIX4		
						FAM25A																										PP14571			DCAKD				LRRC3-AS1			ARPC5	LOC101927502		ITFG1			LOC101927884		SPAG5-AS1	ZFYVE1		
						LIPK																										LOC100286922			PLEKHH3				DIP2A-IT1			PRG4	LOC101927575		NETO2			LOC101927907		MIR4523	CPSF2		
						LIPN																										MIR1471			DBF4B				TTC3-AS1			GPA33	LOC101927827		YPEL3			LOC101927926		MIR451B	KCNK10		
						LINC00865																										MIR1244-1			CDK5RAP3				BRWD1-AS1			STX6	LOC101928195		FAM57B			LOC101927948		MIR4522	NRDE2		
						MIR607																										BOK-AS1			SP6				COL18A1-AS2			C1orf61	LOC101928381		LONP2			LOC101927967		MIR4732	ATG2B		
						NUTM2A																										MIR1244-3			COASY				DSCAM-IT1			SLC19A2	LOC101929583		KAT8			LOC101927987		MIR4723	UBR7		
						NUTM2D																										MIR1244-2			AARSD1				LOC101928233			IVNS1ABP	LOC102723709		NLRC5			LINC01628		NARR	EXD2		
						NUTM2A-AS1																										MIR3133			KRTAP1-3				LOC101928311			NES	LOC102724238		DRC7			LINC01291		EPN2-AS1	VRTN		
						LINC00864																										MIR4269			KRTAP1-1				LOC101928398			CFHR4	LOC102724580		CAPNS2			LOC102800447		EPN2-IT1	SYNJ2BP		
						ENTPD1-AS1																										AGAP1-IT1			KRTAP9-9				TCONS_00029157			CFHR3	LOC102725126		MT4			LINC01143		FAM106B	SLC39A9		
						RPL13AP5																										UBE2F-SCLY			KRTAP4-6				LOC101928435			OCLM	LINC01410		GPT2			LOC105374820		LINC01563	FLVCR2		
						C10orf131																										MIR4777			KRTAP2-1				TRPM2-AS			DUSP12	RORB-AS1		ABCC11					LOC101927018	GPATCH2L		
						PLCE1-AS1																										MIR2467			TTC25				LINC01424			KIFAP3	LOC103908605		NKD1					MIR6778	PPP4R3A		
